dex_number,name,type_01,type_02,ability_01,ability_02,hidden_ability,egg_group_01,egg_group_02,is_legendary,hp,attack,defense,sp_attack,sp_defense,speed,BST,type_combo,cluster,cluster2,class
#0195,Quagsire,Water,Ground,Damp, Water,Unaware,Water 1, Field,False,95,85,85,65,65,35,430,Water/Ground,2,2,balanced
#0196,Espeon,Psychic,None,Synchronize,None,Magic Bounce,Field,None,False,65,65,60,130,95,110,525,Psychic/None,3,3,Fast Sweeper
#0197,Umbreon,Dark,None,Synchronize,None,Inner Focus,Field,None,False,95,65,110,60,130,65,525,Dark/None,2,2,balanced
#0198,Murkrow,Dark,Flying,Insomnia, Super,Prankster,Flying,None,False,60,85,42,85,42,91,405,Dark/Flying,3,3,Fast Sweeper
#0199,Slowking,Water,Psychic,Oblivious, Own,Regenerator,Monster, Water 1,False,95,75,80,100,110,30,490,Water/Psychic,2,2,balanced
#0200,Misdreavus,Ghost,None,Levitate,None,None,Amorphous,None,False,60,60,60,85,85,85,435,Ghost/None,3,3,Fast Sweeper
#0201,Unown,Psychic,None,Levitate,None,None,None,None,False,48,72,48,72,48,48,336,Psychic/None,1,1,Underpowered
#0202,Wobbuffet,Psychic,None,Shadow,None,Telepathy,Amorphous,None,False,190,33,58,33,58,33,405,Psychic/None,2,2,balanced
#0203,Girafarig,Normal,Psychic,Inner, Early,Sap Sipper,Field,None,False,70,80,65,90,65,85,455,Normal/Psychic,3,3,Fast Sweeper
#0204,Pineco,Bug,None,Sturdy,None,Overcoat,Bug,None,False,50,65,90,35,35,15,290,Bug/None,1,1,Underpowered
#0205,Forretress,Bug,Steel,Sturdy,None,Overcoat,Bug,None,False,75,90,140,60,60,40,465,Bug/Steel,2,2,balanced
#0206,Dunsparce,Normal,None,Serene, Run,Rattled,Field,None,False,100,70,70,65,65,45,415,Normal/None,2,2,balanced
#0207,Gligar,Ground,Flying,Hyper, Sand,Immunity,Bug,None,False,65,75,105,35,65,85,430,Ground/Flying,2,2,balanced
#0208,Steelix,Steel,Ground,Rock, Sturdy,Sheer Force,Mineral,None,False,75,85,200,55,65,30,510,Steel/Ground,2,2,balanced
#0209,Snubbull,Fairy,None,Intimidate, Run,Rattled,Field, Fairy,False,60,80,50,40,40,30,300,Fairy/None,1,1,Underpowered
#0210,Granbull,Fairy,None,Intimidate, Quick,Rattled,Field, Fairy,False,90,120,75,60,60,45,450,Fairy/None,2,2,balanced
#0211,Qwilfish,Water,Poison,Poison, Swift,Intimidate,Water 2,None,False,65,95,75,55,55,85,430,Water/Poison,3,3,Fast Sweeper
#0212,Scizor,Bug,Steel,Swarm, Technician,Light Metal,Bug,None,False,70,130,100,55,80,65,500,Bug/Steel,2,2,balanced
#0213,Shuckle,Bug,Rock,Sturdy, Gluttony,Contrary,Bug,None,False,20,10,230,10,230,5,505,Bug/Rock,2,2,balanced
#0214,Heracross,Bug,Fighting,Swarm, Guts,Moxie,Bug,None,False,80,125,75,40,95,85,500,Bug/Fighting,2,0,Tank
#0215,Sneasel,Dark,Ice,Inner, Keen,Pickpocket,Field,None,False,55,95,55,35,75,115,430,Dark/Ice,3,3,Fast Sweeper
#0216,Teddiursa,Normal,None,Pickup, Quick,Honey Gather,Field,None,False,60,80,50,50,50,40,330,Normal/None,1,1,Underpowered
#0217,Ursaring,Normal,None,Guts, Quick,Unnerve,Field,None,False,90,130,75,75,75,55,500,Normal/None,2,2,balanced
#0218,Slugma,Fire,None,Magma, Flame,Weak Armor,Amorphous,None,False,40,40,40,70,40,20,250,Fire/None,1,1,Underpowered
#0219,Magcargo,Fire,Rock,Magma, Flame,Weak Armor,Amorphous,None,False,50,50,120,80,80,30,410,Fire/Rock,2,2,balanced
#0220,Swinub,Ice,Ground,Oblivious, Snow,Thick Fat,Field,None,False,50,50,40,30,30,50,250,Ice/Ground,1,1,Underpowered
#0221,Piloswine,Ice,Ground,Oblivious, Snow,Thick Fat,Field,None,False,100,100,80,60,60,50,450,Ice/Ground,2,2,balanced
#0222,Corsola,Water,Rock,Hustle, Natural,Regenerator,Water 1, Water 3,False,55,55,85,65,85,35,380,Water/Rock,2,2,balanced
#0223,Remoraid,Water,None,Hustle, Sniper,Moody,Water 1, Water 2,False,35,65,35,65,35,65,300,Water/None,1,1,Underpowered
#0224,Octillery,Water,None,Suction, Sniper,Moody,Water 1, Water 2,False,75,105,75,105,75,45,480,Water/None,2,2,balanced
#0225,Delibird,Ice,Flying,Vital, Hustle,Insomnia,Water 1, Field,False,45,55,45,65,45,75,330,Ice/Flying,1,1,Underpowered
#0226,Mantine,Water,Flying,Swift, Water,Water Veil,Water 1,None,False,65,40,70,80,140,70,465,Water/Flying,3,0,Tank
#0227,Skarmory,Steel,Flying,Keen, Sturdy,Weak Armor,Flying,None,False,65,80,140,40,70,70,465,Steel/Flying,2,2,balanced
#0228,Houndour,Dark,Fire,Early, Flash,Unnerve,Field,None,False,45,60,30,80,50,65,330,Dark/Fire,1,1,Underpowered
#0229,Houndoom,Dark,Fire,Early, Flash,Unnerve,Field,None,False,75,90,50,110,80,95,500,Dark/Fire,3,3,Fast Sweeper
#0230,Kingdra,Water,Dragon,Swift, Sniper,Damp,Water 1, Dragon,False,75,95,95,95,95,85,540,Water/Dragon,0,0,Tank
#0231,Phanpy,Ground,None,Pickup,None,Sand Veil,Field,None,False,90,60,60,40,40,40,330,Ground/None,1,1,Underpowered
#0232,Donphan,Ground,None,Sturdy,None,Sand Veil,Field,None,False,90,120,120,60,60,50,500,Ground/None,2,2,balanced
#0233,Porygon2,Normal,None,Trace, Download,Analytic,Mineral,None,False,85,80,90,105,95,60,515,Normal/None,2,0,Tank
#0234,Stantler,Normal,None,Intimidate, Frisk,Sap Sipper,Field,None,False,73,95,62,85,65,85,465,Normal/None,3,3,Fast Sweeper
#0235,Smeargle,Normal,None,Own, Technician,Moody,Field,None,False,55,20,35,20,45,75,250,Normal/None,1,1,Underpowered
#0236,Tyrogue,Fighting,None,Guts, Steadfast,Vital Spirit,No Eggs Discovered,None,False,35,35,35,35,35,35,210,Fighting/None,1,1,Underpowered
#0237,Hitmontop,Fighting,None,Intimidate, Technician,Steadfast,Human-Like,None,False,50,95,95,35,110,70,455,Fighting/None,2,2,balanced
#0238,Smoochum,Ice,Psychic,Oblivious, Forewarn,Hydration,No Eggs Discovered,None,False,45,30,15,85,65,65,305,Ice/Psychic,1,1,Underpowered
#0239,Elekid,Electric,None,Static,None,Vital Spirit,No Eggs Discovered,None,False,45,63,37,65,55,95,360,Electric/None,3,3,Fast Sweeper
#0240,Magby,Fire,None,Flame,None,Vital Spirit,No Eggs Discovered,None,False,45,75,37,70,55,83,365,Fire/None,3,1,Underpowered
#0241,Miltank,Normal,None,Thick, Scrappy,Sap Sipper,Field,None,False,95,80,105,40,70,100,490,Normal/None,2,0,Tank
#0242,Blissey,Normal,None,Natural, Serene,Healer,Fairy,None,False,255,10,10,75,135,55,540,Normal/None,0,0,Tank
#0243,Raikou,Electric,None,Pressure,None,Inner Focus,None,None,True,90,85,75,115,100,115,580,Electric/None,0,0,Tank
#0244,Entei,Fire,None,Pressure,None,Inner Focus,None,None,True,115,115,85,90,75,100,580,Fire/None,0,0,Tank
#0245,Suicune,Water,None,Pressure,None,Inner Focus,None,None,True,100,75,115,90,115,85,580,Water/None,0,0,Tank
#0246,Larvitar,Rock,Ground,Guts,None,Sand Veil,Monster,None,False,50,64,50,45,50,41,300,Rock/Ground,1,1,Underpowered
#0247,Pupitar,Rock,Ground,Shed,None,None,Monster,None,False,70,84,70,65,70,51,410,Rock/Ground,2,2,balanced
#0248,Tyranitar,Rock,Dark,Sand,None,Unnerve,Monster,None,False,100,134,110,95,100,61,600,Rock/Dark,0,0,Tank
#0249,Lugia,Psychic,Flying,Pressure,None,Multiscale,None,None,True,106,90,130,90,154,110,680,Psychic/Flying,0,0,Tank
#0250,Ho-Oh,Fire,Flying,Pressure,None,Regenerator,None,None,True,106,130,90,110,154,90,680,Fire/Flying,0,0,Tank
#0251,Celebi,Psychic,Grass,Natural,None,None,None,None,False,100,100,100,100,100,100,600,Psychic/Grass,0,0,Tank
#0252,Treecko,Grass,None,Overgrow,None,Unburden,Monster, Dragon,False,40,45,35,65,55,70,310,Grass/None,1,1,Underpowered
#0253,Grovyle,Grass,None,Overgrow,None,Unburden,Monster, Dragon,False,50,65,45,85,65,95,405,Grass/None,3,3,Fast Sweeper
#0254,Sceptile,Grass,None,Overgrow,None,Unburden,Monster, Dragon,False,70,85,65,105,85,120,530,Grass/None,3,3,Fast Sweeper
#0255,Torchic,Fire,None,Blaze,None,Speed Boost,Field,None,False,45,60,40,70,50,45,310,Fire/None,1,1,Underpowered
#0256,Combusken,Fire,Fighting,Blaze,None,Speed Boost,Field,None,False,60,85,60,85,60,55,405,Fire/Fighting,3,1,Underpowered
#0257,Blaziken,Fire,Fighting,Blaze,None,Speed Boost,Field,None,False,80,120,70,110,70,80,530,Fire/Fighting,0,0,Tank
#0258,Mudkip,Water,None,Torrent,None,Damp,Monster, Water 1,False,50,70,50,50,50,40,310,Water/None,1,1,Underpowered
#0259,Marshtomp,Water,Ground,Torrent,None,Damp,Monster, Water 1,False,70,85,70,60,70,50,405,Water/Ground,2,2,balanced
#0260,Swampert,Water,Ground,Torrent,None,Damp,Monster, Water 1,False,100,110,90,85,90,60,535,Water/Ground,2,0,Tank
#0261,Poochyena,Dark,None,Run, Quick,Rattled,Field,None,False,35,55,35,30,30,35,220,Dark/None,1,1,Underpowered
#0262,Mightyena,Dark,None,Intimidate, Quick,Moxie,Field,None,False,70,90,70,60,60,70,420,Dark/None,3,1,Underpowered
#0263,Zigzagoon,Normal,None,Pickup, Gluttony,Quick Feet,Field,None,False,38,30,41,30,41,60,240,Normal/None,1,1,Underpowered
#0264,Linoone,Normal,None,Pickup, Gluttony,Quick Feet,Field,None,False,78,70,61,50,61,100,420,Normal/None,3,3,Fast Sweeper
#0265,Wurmple,Bug,None,Shield,None,Run Away,Bug,None,False,45,45,35,20,30,20,195,Bug/None,1,1,Underpowered
#0266,Silcoon,Bug,None,Shed,None,None,Bug,None,False,50,35,55,25,25,15,205,Bug/None,1,1,Underpowered
#0267,Beautifly,Bug,Flying,Swarm,None,Rivalry,Bug,None,False,60,70,50,90,50,65,385,Bug/Flying,3,1,Underpowered
#0268,Cascoon,Bug,None,Shed,None,None,Bug,None,False,50,35,55,25,25,15,205,Bug/None,1,1,Underpowered
#0269,Dustox,Bug,Poison,Shield,None,Compound Eyes,Bug,None,False,60,50,70,50,90,65,385,Bug/Poison,1,1,Underpowered
#0270,Lotad,Water,Grass,Swift, Rain,Own Tempo,Water 1, Grass,False,40,30,30,40,50,30,220,Water/Grass,1,1,Underpowered
#0271,Lombre,Water,Grass,Swift, Rain,Own Tempo,Water 1, Grass,False,60,50,50,60,70,50,340,Water/Grass,1,1,Underpowered
#0272,Ludicolo,Water,Grass,Swift, Rain,Own Tempo,Water 1, Grass,False,80,70,70,90,100,70,480,Water/Grass,3,0,Tank
#0273,Seedot,Grass,None,Chlorophyll, Early,Pickpocket,Field, Grass,False,40,40,50,30,30,30,220,Grass/None,1,1,Underpowered
#0274,Nuzleaf,Grass,Dark,Chlorophyll, Early,Pickpocket,Field, Grass,False,70,70,40,60,40,60,340,Grass/Dark,1,1,Underpowered
#0275,Shiftry,Grass,Dark,Chlorophyll, Wind,Pickpocket,Field, Grass,False,90,100,60,90,60,80,480,Grass/Dark,3,3,Fast Sweeper
#0276,Taillow,Normal,Flying,Guts,None,Scrappy,Flying,None,False,40,55,30,30,30,85,270,Normal/Flying,1,1,Underpowered
#0277,Swellow,Normal,Flying,Guts,None,Scrappy,Flying,None,False,60,85,60,50,50,125,430,Normal/Flying,3,3,Fast Sweeper
#0278,Wingull,Water,Flying,Keen, Hydration,Rain Dish,Water 1, Flying,False,40,30,30,55,30,85,270,Water/Flying,1,1,Underpowered
#0279,Pelipper,Water,Flying,Keen, Drizzle,Rain Dish,Water 1, Flying,False,60,50,100,85,70,65,430,Water/Flying,2,2,balanced
#0280,Ralts,Psychic,Fairy,Synchronize, Trace,Telepathy,Human-LikeGen VIII+, Amorphous,False,28,25,25,45,35,40,198,Psychic/Fairy,1,1,Underpowered
#0281,Kirlia,Psychic,Fairy,Synchronize, Trace,Telepathy,Human-LikeGen VIII+, Amorphous,False,38,35,35,65,55,50,278,Psychic/Fairy,1,1,Underpowered
#0282,Gardevoir,Psychic,Fairy,Synchronize, Trace,Telepathy,Human-LikeGen VIII+, Amorphous,False,68,65,65,125,115,80,518,Psychic/Fairy,0,0,Tank
#0283,Surskit,Bug,Water,Swift,None,Rain Dish,Water 1, Bug,False,40,30,32,50,52,65,269,Bug/Water,1,1,Underpowered
#0284,Masquerain,Bug,Flying,Intimidate,None,Unnerve,Water 1, Bug,False,70,60,62,80,82,60,414,Bug/Flying,3,1,Underpowered
#0285,Shroomish,Grass,None,Effect, Poison,Quick Feet,Fairy, Grass,False,60,40,60,40,60,35,295,Grass/None,1,1,Underpowered
#0286,Breloom,Grass,Fighting,Effect, Poison,Technician,Fairy, Grass,False,60,130,80,60,60,70,460,Grass/Fighting,2,2,balanced
#0287,Slakoth,Normal,None,Truant,None,None,Field,None,False,60,60,60,35,35,30,280,Normal/None,1,1,Underpowered
#0288,Vigoroth,Normal,None,Vital,None,None,Field,None,False,80,80,80,55,55,90,440,Normal/None,3,3,Fast Sweeper
#0289,Slaking,Normal,None,Truant,None,None,Field,None,False,150,160,100,95,65,100,670,Normal/None,0,0,Tank
#0290,Nincada,Bug,Ground,Compound,None,Run Away,Bug,None,False,31,45,90,30,30,40,266,Bug/Ground,1,1,Underpowered
#0291,Ninjask,Bug,Flying,Speed,None,Infiltrator,Bug,None,False,61,90,45,50,50,160,456,Bug/Flying,3,3,Fast Sweeper
#0292,Shedinja,Bug,Ghost,Wonder,None,None,Mineral,None,False,1,90,45,30,30,40,236,Bug/Ghost,1,1,Underpowered
#0293,Whismur,Normal,None,Soundproof,None,Rattled,Monster, Field,False,64,51,23,51,23,28,240,Normal/None,1,1,Underpowered
#0294,Loudred,Normal,None,Soundproof,None,Scrappy,Monster, Field,False,84,71,43,71,43,48,360,Normal/None,1,1,Underpowered
#0295,Exploud,Normal,None,Soundproof,None,Scrappy,Monster, Field,False,104,91,63,91,63,68,480,Normal/None,3,0,Tank
#0296,Makuhita,Fighting,None,Thick, Guts,Sheer Force,Human-Like,None,False,72,60,30,20,30,25,237,Fighting/None,1,1,Underpowered
#0297,Hariyama,Fighting,None,Thick, Guts,Sheer Force,Human-Like,None,False,144,120,60,40,60,50,474,Fighting/None,2,2,balanced
#0298,Azurill,Normal,Fairy,Thick, Huge,Sap Sipper,No Eggs Discovered,None,False,50,20,40,20,40,20,190,Normal/Fairy,1,1,Underpowered
#0299,Nosepass,Rock,None,Sturdy, Magnet,Sand Force,Mineral,None,False,30,45,135,45,90,30,375,Rock/None,2,2,balanced
#0300,Skitty,Normal,None,Cute, Normalize,Wonder Skin,Field, Fairy,False,50,45,45,35,35,50,260,Normal/None,1,1,Underpowered
#0301,Delcatty,Normal,None,Cute, Normalize,Wonder Skin,Field, Fairy,False,70,65,65,55,55,70,380,Normal/None,1,1,Underpowered
#0302,Sableye,Dark,Ghost,Keen, Stall,Prankster,Human-Like,None,False,50,75,75,65,65,50,380,Dark/Ghost,1,1,Underpowered
#0303,Mawile,Steel,Fairy,Hyper, Intimidate,Sheer Force,Field, Fairy,False,50,85,85,55,55,50,380,Steel/Fairy,1,1,Underpowered
#0304,Aron,Steel,Rock,Sturdy, Rock,Heavy Metal,Monster,None,False,50,70,100,40,40,30,330,Steel/Rock,1,1,Underpowered
#0305,Lairon,Steel,Rock,Sturdy, Rock,Heavy Metal,Monster,None,False,60,90,140,50,50,40,430,Steel/Rock,2,2,balanced
#0306,Aggron,Steel,Rock,Sturdy, Rock,Heavy Metal,Monster,None,False,70,110,180,60,60,50,530,Steel/Rock,2,2,balanced
#0307,Meditite,Fighting,Psychic,Pure,None,Telepathy,Human-Like,None,False,30,40,55,40,55,60,280,Fighting/Psychic,1,1,Underpowered
#0308,Medicham,Fighting,Psychic,Pure,None,Telepathy,Human-Like,None,False,60,60,75,60,75,80,410,Fighting/Psychic,3,1,Underpowered
#0309,Electrike,Electric,None,Static, Lightning,Minus,Field,None,False,40,45,40,65,40,65,295,Electric/None,1,1,Underpowered
#0310,Manectric,Electric,None,Static, Lightning,Minus,Field,None,False,70,75,60,105,60,105,475,Electric/None,3,3,Fast Sweeper
#0311,Plusle,Electric,None,Plus,None,Lightning Rod,Fairy,None,False,60,50,40,85,75,95,405,Electric/None,3,3,Fast Sweeper
#0312,Minun,Electric,None,Minus,None,Volt Absorb,Fairy,None,False,60,40,50,75,85,95,405,Electric/None,3,3,Fast Sweeper
#0313,Volbeat,Bug,None,Illuminate, Swarm,Prankster,Bug, Human-Like,False,65,73,55,47,75,85,400,Bug/None,3,3,Fast Sweeper
#0314,Illumise,Bug,None,Oblivious, Tinted,Prankster,Bug, Human-Like,False,65,47,55,73,75,85,400,Bug/None,3,3,Fast Sweeper
#0315,Roselia,Grass,Poison,Natural, Poison,Leaf Guard,Fairy, Grass,False,50,60,45,100,80,65,400,Grass/Poison,3,3,Fast Sweeper
#0316,Gulpin,Poison,None,Liquid, Sticky,Gluttony,Amorphous,None,False,70,43,53,43,53,40,302,Poison/None,1,1,Underpowered
#0317,Swalot,Poison,None,Liquid, Sticky,Gluttony,Amorphous,None,False,100,73,83,73,83,55,467,Poison/None,2,2,balanced
#0318,Carvanha,Water,Dark,Rough,None,Speed Boost,Water 2,None,False,45,90,20,65,20,65,305,Water/Dark,1,1,Underpowered
#0319,Sharpedo,Water,Dark,Rough,None,Speed Boost,Water 2,None,False,70,120,40,95,40,95,460,Water/Dark,3,3,Fast Sweeper
#0320,Wailmer,Water,None,Water, Oblivious,Pressure,Field, Water 2,False,130,70,35,70,35,60,400,Water/None,3,3,Fast Sweeper
#0321,Wailord,Water,None,Water, Oblivious,Pressure,Field, Water 2,False,170,90,45,90,45,60,500,Water/None,0,0,Tank
#0322,Numel,Fire,Ground,Oblivious, Simple,Own Tempo,Field,None,False,60,60,40,65,45,35,305,Fire/Ground,1,1,Underpowered
#0323,Camerupt,Fire,Ground,Magma, Solid,Anger Point,Field,None,False,70,100,70,105,75,40,460,Fire/Ground,2,2,balanced
#0324,Torkoal,Fire,None,White, Drought,Shell Armor,Field,None,False,70,85,140,85,70,20,470,Fire/None,2,2,balanced
#0325,Spoink,Psychic,None,Thick, Own,Gluttony,Field,None,False,60,25,35,70,80,60,330,Psychic/None,1,1,Underpowered
#0326,Grumpig,Psychic,None,Thick, Own,Gluttony,Field,None,False,80,45,65,90,110,80,470,Psychic/None,3,3,Fast Sweeper
#0327,Spinda,Normal,None,Own, Tangled,Contrary,Field, Human-Like,False,60,60,60,60,60,60,360,Normal/None,1,1,Underpowered
#0328,Trapinch,Ground,None,Hyper, Arena,Sheer Force,Bug, DragonGen VIII+,False,45,100,45,45,45,10,290,Ground/None,1,1,Underpowered
#0329,Vibrava,Ground,Dragon,Levitate,None,None,Bug, DragonGen VIII+,False,50,70,50,50,50,70,340,Ground/Dragon,1,1,Underpowered
#0330,Flygon,Ground,Dragon,Levitate,None,None,Bug, DragonGen VIII+,False,80,100,80,80,80,100,520,Ground/Dragon,0,0,Tank
#0331,Cacnea,Grass,None,Sand,None,Water Absorb,Grass, Human-Like,False,50,85,40,85,40,35,335,Grass/None,1,1,Underpowered
#0332,Cacturne,Grass,Dark,Sand,None,Water Absorb,Grass, Human-Like,False,70,115,60,115,60,55,475,Grass/Dark,3,0,Tank
#0333,Swablu,Normal,Flying,Natural,None,Cloud Nine,Flying, Dragon,False,45,40,60,40,75,50,310,Normal/Flying,1,1,Underpowered
#0334,Altaria,Dragon,Flying,Natural,None,Cloud Nine,Flying, Dragon,False,75,70,90,70,105,80,490,Dragon/Flying,2,0,Tank
#0335,Zangoose,Normal,None,Immunity,None,Toxic Boost,Field,None,False,73,115,60,60,60,90,458,Normal/None,3,3,Fast Sweeper
#0336,Seviper,Poison,None,Shed,None,Infiltrator,Field, Dragon,False,73,100,60,100,60,65,458,Poison/None,3,3,Fast Sweeper
#0337,Lunatone,Rock,Psychic,Levitate,None,None,Mineral,None,False,70,55,65,95,85,70,440,Rock/Psychic,3,3,Fast Sweeper
#0338,Solrock,Rock,Psychic,Levitate,None,None,Mineral,None,False,70,95,85,55,65,70,440,Rock/Psychic,2,2,balanced
#0339,Barboach,Water,Ground,Oblivious, Anticipation,Hydration,Water 2,None,False,50,48,43,46,41,60,288,Water/Ground,1,1,Underpowered
#0340,Whiscash,Water,Ground,Oblivious, Anticipation,Hydration,Water 2,None,False,110,78,73,76,71,60,468,Water/Ground,2,2,balanced
#0341,Corphish,Water,None,Hyper, Shell,Adaptability,Water 1, Water 3,False,43,80,65,50,35,35,308,Water/None,1,1,Underpowered
#0342,Crawdaunt,Water,Dark,Hyper, Shell,Adaptability,Water 1, Water 3,False,63,120,85,90,55,55,468,Water/Dark,2,2,balanced
#0343,Baltoy,Ground,Psychic,Levitate,None,None,Mineral,None,False,40,40,55,40,70,55,300,Ground/Psychic,1,1,Underpowered
#0344,Claydol,Ground,Psychic,Levitate,None,None,Mineral,None,False,60,70,105,70,120,75,500,Ground/Psychic,2,0,Tank
#0345,Lileep,Rock,Grass,Suction,None,Storm Drain,Water 3,None,False,66,41,77,61,87,23,355,Rock/Grass,1,2,balanced
#0346,Cradily,Rock,Grass,Suction,None,Storm Drain,Water 3,None,False,86,81,97,81,107,43,495,Rock/Grass,2,2,balanced
#0347,Anorith,Rock,Bug,Battle,None,Swift Swim,Water 3,None,False,45,95,50,40,50,75,355,Rock/Bug,1,1,Underpowered
#0348,Armaldo,Rock,Bug,Battle,None,Swift Swim,Water 3,None,False,75,125,100,70,80,45,495,Rock/Bug,2,2,balanced
#0349,Feebas,Water,None,Swift, Oblivious,Adaptability,Water 1, Dragon,False,20,15,20,10,55,80,200,Water/None,1,1,Underpowered
#0350,Milotic,Water,None,Marvel, Competitive,Cute Charm,Water 1, Dragon,False,95,60,79,100,125,81,540,Water/None,0,0,Tank
#0351,Castform,Normal,None,Forecast,None,None,Fairy, Amorphous,False,70,70,70,70,70,70,420,Normal/None,3,3,Fast Sweeper
#0352,Kecleon,Normal,None,Color,None,Protean,Field,None,False,60,90,70,60,120,40,440,Normal/None,2,2,balanced
#0353,Shuppet,Ghost,None,Insomnia, Frisk,Cursed Body,Amorphous,None,False,44,75,35,63,33,45,295,Ghost/None,1,1,Underpowered
#0354,Banette,Ghost,None,Insomnia, Frisk,Cursed Body,Amorphous,None,False,64,115,65,83,63,65,455,Ghost/None,3,0,Tank
#0355,Duskull,Ghost,None,Levitate,None,Frisk,Amorphous,None,False,20,40,90,30,90,25,295,Ghost/None,1,1,Underpowered
#0356,Dusclops,Ghost,None,Pressure,None,Frisk,Amorphous,None,False,40,70,130,60,130,25,455,Ghost/None,2,2,balanced
#0357,Tropius,Grass,Flying,Chlorophyll, Solar,Harvest,Monster, Grass,False,99,68,83,72,87,51,460,Grass/Flying,2,2,balanced
#0358,Chimecho,Psychic,None,Levitate,None,None,Amorphous,None,False,65,50,70,95,80,65,425,Psychic/None,3,3,Fast Sweeper
#0359,Absol,Dark,None,Pressure, Super,Justified,Field,None,False,65,130,60,75,60,75,465,Dark/None,3,0,Tank
#0360,Wynaut,Psychic,None,Shadow,None,Telepathy,No Eggs Discovered,None,False,95,23,48,23,48,23,260,Psychic/None,1,1,Underpowered
#0361,Snorunt,Ice,None,Inner, Ice,Moody,Fairy, Mineral,False,50,50,50,50,50,50,300,Ice/None,1,1,Underpowered
#0362,Glalie,Ice,None,Inner, Ice,Moody,Fairy, Mineral,False,80,80,80,80,80,80,480,Ice/None,3,0,Tank
#0363,Spheal,Ice,Water,Thick, Ice,Oblivious,Water 1, Field,False,70,40,50,55,50,25,290,Ice/Water,1,1,Underpowered
#0364,Sealeo,Ice,Water,Thick, Ice,Oblivious,Water 1, Field,False,90,60,70,75,70,45,410,Ice/Water,2,2,balanced
#0365,Walrein,Ice,Water,Thick, Ice,Oblivious,Water 1, Field,False,110,80,90,95,90,65,530,Ice/Water,2,0,Tank
#0366,Clamperl,Water,None,Shell,None,Rattled,Water 1,None,False,35,64,85,74,55,32,345,Water/None,1,1,Underpowered
#0367,Huntail,Water,None,Swift,None,Water Veil,Water 1,None,False,55,104,105,94,75,52,485,Water/None,2,2,balanced
#0368,Gorebyss,Water,None,Swift,None,Hydration,Water 1,None,False,55,84,105,114,75,52,485,Water/None,2,2,balanced
#0369,Relicanth,Water,Rock,Swift, Rock,Sturdy,Water 1, Water 2,False,100,90,130,45,65,55,485,Water/Rock,2,2,balanced
#0370,Luvdisc,Water,None,Swift,None,Hydration,Water 2,None,False,43,30,55,40,65,97,330,Water/None,1,1,Underpowered
#0371,Bagon,Dragon,None,Rock,None,Sheer Force,Dragon,None,False,45,75,60,40,30,50,300,Dragon/None,1,1,Underpowered
#0372,Shelgon,Dragon,None,Rock,None,Overcoat,Dragon,None,False,65,95,100,60,50,50,420,Dragon/None,2,2,balanced
#0373,Salamence,Dragon,Flying,Intimidate,None,Moxie,Dragon,None,False,95,135,80,110,80,100,600,Dragon/Flying,0,0,Tank
#0374,Beldum,Steel,Psychic,Clear,None,Light Metal,Mineral,None,False,40,55,80,35,60,30,300,Steel/Psychic,1,1,Underpowered
#0375,Metang,Steel,Psychic,Clear,None,Light Metal,Mineral,None,False,60,75,100,55,80,50,420,Steel/Psychic,2,2,balanced
#0376,Metagross,Steel,Psychic,Clear,None,Light Metal,Mineral,None,False,80,135,130,95,90,70,600,Steel/Psychic,2,0,Tank
#0377,Regirock,Rock,None,Clear,None,Sturdy,None,None,True,80,100,200,50,100,50,580,Rock/None,2,2,balanced
#0378,Regice,Ice,None,Clear,None,Ice Body,None,None,True,80,50,100,100,200,50,580,Ice/None,2,0,Tank
#0379,Registeel,Steel,None,Clear,None,Light Metal,None,None,True,80,75,150,75,150,50,580,Steel/None,2,2,balanced
#0380,Latias,Dragon,Psychic,Levitate,None,None,None,None,True,80,80,90,110,130,110,600,Dragon/Psychic,0,0,Tank
#0381,Latios,Dragon,Psychic,Levitate,None,None,None,None,True,80,90,80,130,110,110,600,Dragon/Psychic,0,0,Tank
#0382,Kyogre,Water,None,Drizzle,None,None,None,None,True,100,100,90,150,140,90,670,Water/None,0,0,Tank
#0383,Groudon,Ground,None,Drought,None,None,None,None,True,100,150,140,100,90,90,670,Ground/None,0,0,Tank
#0384,Rayquaza,Dragon,Flying,Air,None,None,None,None,True,105,150,90,150,90,95,680,Dragon/Flying,0,0,Tank
#0385,Jirachi,Steel,Psychic,Serene,None,None,None,None,False,100,100,100,100,100,100,600,Steel/Psychic,0,0,Tank
#0386,Deoxys,Psychic,None,Pressure,None,None,None,None,False,50,150,50,150,50,150,600,Psychic/None,0,3,Fast Sweeper
#0387,Turtwig,Grass,None,Overgrow,None,Shell Armor,Monster, Grass,False,55,68,64,45,55,31,318,Grass/None,1,1,Underpowered
#0388,Grotle,Grass,None,Overgrow,None,Shell Armor,Monster, Grass,False,75,89,85,55,65,36,405,Grass/None,2,2,balanced
#0389,Torterra,Grass,Ground,Overgrow,None,Shell Armor,Monster, Grass,False,95,109,105,75,85,56,525,Grass/Ground,2,2,balanced
#0390,Chimchar,Fire,None,Blaze,None,Iron Fist,Field, Human-Like,False,44,58,44,58,44,61,309,Fire/None,1,1,Underpowered
#0391,Monferno,Fire,Fighting,Blaze,None,Iron Fist,Field, Human-Like,False,64,78,52,78,52,81,405,Fire/Fighting,3,3,Fast Sweeper
